ward	name
1 - Peliyagoda Waththa	Egastro Isan Puramad
2 - Meegahawaththa North	Thanuja Dilhani Kodagoda
3 - Pattiya North	Widana Liyange Sudath Dhammika Pathirana
4 - Pattiya East	Hetti Arachchige Mala
5 - Rohana Wihara Place	Gamage Kawinda Dasun Lakshan
6 - Meegahawaththa South	Ganga Dilruksani Disanayake
7 - Peliyagoda Gangabada	Madapathage Don Indika Rohan
8 - Peliyagoda Gangabada East	Muthundadurage Pradeep Asiri Soysa
9 - Pattiya West	Sammuhandige Priyantha Premakumara
10 - Gurukula School Place	Mulla Withanalage Chaminda Namal Kalum
