ward	name
1 - Medawala	Pannala Henegedara Dilanka Nawodani Jayathilaka
2 - Attauagama	Ranhawadi Gedara Saddamangala Nandasiri
3 - Gonigoda	Doolwala Rankeththe Tharindu Sudara Rajapaksha
4 - Hedeniya	Wanasekara Arachchillage Madara Sandeepani Wanasekara
5 - Karanduwawala	Rambuk Ange Gedara Sarath Rajarathne
6 - Hiriyalagammana	Gedara Kumbure Ge Nalin Sanjeewa Kurunduwatta
7 - Tittapajjala	Kurugaspitiye Pallegedara Sri Mahinda Rajapakshe
8 - Hapugoda	Rathmalsinghe Rajakaruna Jayakodilage Namal Jayakodi
9 - Ranawana	Wickrama Arachchilage Nimal Wickramaarachchi
10 - Uduwawala	Rammalsinghe Rajakaruna Jayakodilage Santha Jayakodi
11 - Nugawela	Kamal Milroy Sevior
12 - Kulugammana	Muthuranwelli Gedara Lashuni Pradeepa Kulasinghe
13 - Uguressapitiya	Srinikalal Peramunage
14 - Senaratgama	 
15 - Innigala	Polwatte Gedara Gamini Gunawardhana
16 - Pollwatta	Wedagedara Thilak Nawarathna
17 - Hamangoda North	Roondale Gedara Shyamika Chathurani Hamangoda
18 - Gohagoda	Masin Gedara Wijerathne
19 - Hamangoda South	Rooban Weerasinghe
20 - Halloluwa	Thelkara Gedara Gunarathne
21 - Yatihalagala Udagama	Nadun Gedara Vijitha Kumara Nadunge
22 - Yatihalagala Pallegama	Atharagalle Gedara Shirani Atharagalla
