ward	name
1 - Welivita	Rajapksha Watte Widanelage Koshila Minuwanthi Pigera
2 - Hewagama	Melawathanthrige Madhusha Nishadi
3 - Kaduwela	Waidyarathna Jiwandara Mudiyanselage Jayantha Jiwandara
4 - Bomiriya North	Thilina Sandaruwan Akarawita Perera
5 - Bomiriya South	Palihenage Don Sanjaya Amith Kumar Palihena
6 - Nawagamuwa	Ranawaka Arachchige Ranga Madhushanka
7 - Ranala	Palihenage Don Chamara Koushan Madhushanka
8 - Dedigamuwa	Disanayaka Mudiyanselage Sampath Sameera Jayasinghe
9 - Koratota	Wijethunga Lokupitumpage Shanuka Madurangi
10 - Pore	Thuduhenage Chandani Kusumlatha Gunawardhana
11 - Malabe North	Dilan Randika Chameth Dunumalage
12 - Malabe	Thepulangoda Mudiyanselage Wijayarathna
13 - Thalahena	Pelawa Medagam Meddage Nimal Ashoka
14 - Muththettugoda	Induruwe Kankanamlage Rasika Chaminda Perera
15 - Thalangama	Hetti Nayaka Mudiyanselage Oshan Bandara Hettinayaka
16 - Walpola	Madame Arachchige Disanayaka
17 - Kalapaluwawa	Maegodage Dickson
18 - Battaramulla	Palipana Gawilipitiyage Ravindra Rukman Perera
19 - Pelawatta	Maween Srilantha Juriyans
20 - Batapotha	Rajapaksha Arachchilage Jeewana Prasanna
21 - Jayawadanagama	Raigama Archchige Prema Ranjith Perera
22 - Pothuarawa	Wellalage Don Mahesh Hasitha Kumara
23 - Wellangiriya	Deyalath Anil Susantha Mendis
24 - Arangala	Don Idunil Anuradha Wanaguru
25 - Hokandara	Don Wasantha Kumara Wanaguru
26 - Boralugoda	Kalpani Chathurika Gowinnage
27 - Athurugiriya	Hatangalage Nimal Kantha
28 - Oruwala	Pelenda Gamage Shyaman Anura Shantha Perera
