ward	name
1 - Welivita	E.A.Sanjiwa
2 - Hewagama	Githani Deepthika Perera
3 - Kaduwela	Idunil Pushpakumara
4 - Bomiriya North	Kanishka Madushan
5 - Bomiriya South	Dhanika Nipun
6 - Nawagamuwa	Charith Harshana Ranweera
7 - Ranala	M.A.Anjana
8 - Dedigamuwa	Dinusha Kavindya
9 - Koratota	Mahesh Kavinda
10 - Pore	Hashan Dilip Kumara
11 - Malabe North	Chanuth Windiya Perera
12 - Malabe	Sepalika Gamage
13 - Thalahena	Gamagoda Pannakiththi himi
14 - Muththettugoda	Sasidu Madhushan
15 - Thalangama	Sadun Viduranga
16 - Walpola	Susantha Kumara
17 - Kalapaluwawa	Sadunpriya Pushpawarna
18 - Battaramulla	Wasantha Perera
19 - Pelawatta	Lahiru Nilupul
20 - Batapotha	Sarath Kumara
21 - Jayawadanagama	Sandun Kumara
22 - Pothuarawa	Chinthaka Jayasena
23 - Wellangiriya	Indika Jayasingha
24 - Arangala	Kirigalpoththe Chandananda Himi
25 - Hokandara	Bambarawane Aththdassi Himi
26 - Boralugoda	Chandrika Damayanthi Mullage
27 - Athurugiriya	Udaya Idunil Koshala
28 - Oruwala	Anupama Senanayaka
