ward	name
1 - Witharandeniya	Obada Arachchige Samantha Padmakumara
2 - Pattiyapola	Rathnappulige Thamara Priyadarshani
3 - Kattakaduwa	Baladurage Chaminda Ramyajee
4 - Ranna	Gama Welegedara Madhusanka Ishara Hemantha
5 - Nidahasgama	Dikkumburage Thilak Mohan Lal
6 - Rekawa	Paranamana Jayatjilaka
7 - Netolpitiya	Lalitha Rampola Wanigasekara
8 - Walgameliya	Gayan Anushka Weerawarna
9 - Thenagama	Ranaweerage Jagath Hemantha
10 - Nalagama	Punya Sri Kumara Jayawardhana
11 - Polommaruwa	Amila Mallawaraja Samarawikrama Abesekara
12 - Unakuruwa	Arukattu Patabendige Asela Rangajeewa
13 - Kadurupokuna	Deeyagaha Rajapakshage Sensan
14 - Sinimodara	Denagama Witharanage Chamila Kumari
15 - Kudawella	Marakkala Manage Thisara Geeth Sandun
16 - Mahawela	Goigoda Gamage Chandrananda
