ward	name
1 - Arawwala	Dessa Kumbure Kusumsiri Dasanayake
2 - Rathmaldeniya	Panagodage Upali Pathmasiri
3 - Mahalwarawa	Kodiththuvakku Arachchige Chandrasena
4 - Pelenwatta	Don Jayasiri Katugampala
5 - Bokundara	Pathirage Prasanna Sampath Perera
6 - Mampe	Pahalawattage Don Loshan Lenard Karunarathne
7 - Honnanthara	-
8 - Mawiththara	Duvan Koralage Sriyanilatha Perera
9 - Wishwakalawa	Palle Arachchige Don Thushar Priyantha
10 - Thumbowila	Pathirage Don Mahendra Mohanlal Nanayakkara
11 - Wewala	Induruwage Dona Thanuja Jeevani Perera
12 - Suwarapola	Ranasinghe Mudiyanselage Chaminda Dilruk
13 - Kolamunna	Nawalage Premasiri perera
14 - Kesbewa	Vithanage Sujeeva Nishanthi Chandrasiri
15 - Halpita	Mestiyage Don Sanjeewan Dilranga Gunathilaka
16 - Batuwandara	Maddage Sunil
17 - Batakeththara	Karawgoda Arachichige Hemasiri
18 - Dampe	Mandadige Tenil Rathnasiri Fernando
19 - Polhena	Karannagoda Liyanage Lalith Perera
20 - Kahapola	Velappu Naidelage Don Jayantha
