ward	name
15 - Samaravelly	Veerasamy Arulgnanam
16 - Wanaraja	Paramasivam Sivakumar
17 - Salankanda	Dharmalingam Vijayakumar
18 - Nawaweligama	Maruthaiya Manjula
19 - Norwood	Kolanthavelu Rajendran
26 - Thenmaduri	Kanath Shanthakumar
27 - Lechchumi Pahala	Alaguthurei Sangeetha
28 - Puliyawaththa	Rajendra Sasitharan
29 - Lechchumi Ihala	Arumugam Samanthan
30 - Bogawana	Sebasthian Antony Muthukumar
31 - Loinorn	Jegamalai Victor Gnananagayam
32 - Bagawanthalawa	Paramasivam Thavachelvan
