ward	name
1 - Mamduwa	Mohottalage Nimal Karunathilaka
1 - Mamduwa	Siripalage Jayamantha
2 - Nedunkulam	Sarukkal Patabendige Sampath Priyantha Piyathunga
3 - Mahakachchakodiya	Dinesh Aravinda Karunarathna
4 - Madukantha	Sunil Gaminige Thissa Gamini
5 - Avaranthulawa	Sagaralage Sajith Jayalath
6 - Periyaulukkulama	Sarath Premasinghage Shanika Madushani
7 - Erattaperiyakulama	Weerasinghe Dissanayakage Achira Kelum Sampath Dissanayake
8 - Alagalla	Welathege Gunawathi
9 - Marathammaduwa	Wijesinghe Boparathnage Lakshman Samaranayaka
