ward	name
1 - Maruthamadu	Rasaraththinam Arulraj
2 - SEMAMADU	Ramaiya Sivakumar
3 - Eshankulam	Panchadcharam Nadesaruban
4 - Sasthirikulaankulam	Paramasivan George Washinton
5 - Puvarasankulam	Visayareththinam Jogeshwaran
6 - Salambaikulam	Selvan Muththalagu
6 - Salambaikulam	Rasu Thusanthan
7 - Pampaimadu	Muththaiya Ramakrishnan
8 - Marakarampalai	Selladore Chithra
9 - Maharambaikulam	Sakthivelu Sivakumar
10 - Nalukkulam	Sivakadadcham Suthan
10 - Nalukkulam	Ramachandran Ravichandran
11 - Kanthapuram	Aiyavu Nisanthi
11 - Kanthapuram	Yudjension Charls Antony
12 - Samalankulam	Ponnulingam Sajeesan
13 - Asikulam	Aiyavu Vasanthan
