name
Moulana mohamadu Lafeer
Samsudeen Waithullah
Mohamedu Ajeem Riswana
Mofeer Azna
Mohamedu Miraza Ayubkhan
Rifaitheen Mohamedu Fareesh
Manaf Fashmina
Mufeer Afna
