ward	name
1 - Kabagamuwa	Karunasinghe Gedara Rathnayaka
2 - Puspane	Dippitiylage Aruna Samantha Jayarathna
3 - Bulathkohupitiya	Madurasinghage Sarath Premasiri
4 - Ihala Newusmiyar	Manik Pedige Wilson Wijekumara
5 - Uduwa	Pedapelage Lakshman Rajapaksha
6 - Kendawa	Hewage Bandula Padmalal Senarathna
7 - Lewala	Hewadewage Gamini Premawansha
8 - Wegalla	Hewa Pedige Wijerathna
9 - Ampagala	Maha Gamaralalage Susila ?rangani
10 - Panapitiya	Kasthuri Bulathge Kanthi Jayawardhana
11 - Dedugala	Subasinghe Arachchilage Jayantha Anura Kumara
