ward	name
1 - Thalawitiya	Udahapolege Nimal Karunarathna
2 - Bodhimaluwa	Ranaweerage Sarath Wickramanayake
3 - Pussella	Dahanag Gedara Mudiyanselage Asanka Dasanayake
4 - Pathberiya	Muthugal Pedige Chathuranga Pradeep Deshapriya
5 - Devipahala	Sampatha Waduge Ranjith Mendis
6 - Sudagala	Alutha Gamaralalage Duminda Pradeep Karunarathna
7 - Erathna	Muruththettuwe Gamaralalage Hemasiri Karunarathne
8 - Kuruwita	Thenkuttiyalage Samantha Pradeep Kumara
9 - Kadangoda	Dahanayaka Ranaweerage Suranga
10 - Delgamuwa	Delgamuwe Gammeddalaya Seetha Ranjani
11 - Millawitiya	Thotagama Gamaethiralalage Sandaya Indunil Kumari
12 - Miyanadeniya	Simon Atharge Ishan Sandaruwan
13 - Deheragoda	Upasaka Ralalage Samantha Nimal Kumara
14 - Ellawala	Ranasinghe Arachchillage Don Jayathissa
15 - Matuwagala	Pelanwaththa Ranasinghage Anusha Nilmini Ruwan Kumari Ranasinghe
16 - Theppanawa	Kanaththa Gamage Wajira Dayananda
17 - Pathagama	Konara Mudiyanselage Ajith Pushpa Kumara
18 - Walandura	Hathanchalaye Thilakasiri Dandeniya
19 - Kosgoda	Pitawala Kankanamalage Tharindu Kelum Srilal
20 - Galukagama	Pelendage Rukman Pelendage
21 - Kithulpe	Wijesinghe Karunarathna Thilakawathi
22 - Dodampe	Singappuli Arachchilage Dimuthu Saman Kumara
23 - Dodampe West	Baduaramba Kankanamalage Poorna Champika Jinadasa
24 - Kiriella	Malavi Arachchige Chinthaka Aruna Kumara
25 - Munasinhapura	Kodithuwakku Arachchige Ranjani Sriyalatha
26 - Ellagawa	Hondamuni Rukman Chandrasiri
