ward	name
1 - Akkaraipattu West	Atham Lebbe Ranees
2 - New Mosque	Salman Aboo Ahamed
3 - Technical College	Mahroof Mohamed Rukshan
4 - Kadiriya - North	Abdul Latheef Haroon
5 - Kadiriya - South	Kaleel Satham
6 - Akkaraipattu East	Mahroof Sameena Beevi
7 - Nooraniya	Abdul Cader Nifras
8 - Badur	Muhammathu Ismail Muhammathu Sakee
9 - Akkaraipattu Town	Muhammathu Sareef Muhammathu Janas
10 - Town Mosque	Musammil Mohamed Fasli
11 - Grand Mosque	Mohammathu Anvar Mohammathuu Hathik
12 - Falah	Nasar Fathima Nathira
