ward	name
1 - Adikarigama	Malalpola Lekamalage Janaka Rathnayake
2 - Hakuruthale	Asseddume Gedara Abeysinghe Banda
3 - Malulla	A.R.A.J.M.Keerthikumara Jayasekara Bandara
4 - Sangarajagama	Wijethunga Mudiyanselage Chathuranga Shamodi Wijethunga
5 - Hanguranketha	Ruwan Bandara Aththanayake
6 - Unanthenna	Ranhoti Gedara Kaushalya Deepika Kumari
7 - Rikillagaskada	Manthilaka Mudiyanselage Jayarathna Banda
8 - Madanwala	Bogahawatte Samarakoon Mudiyanselage Dayananda Samarakoon
9 - Udawaththa	Korpe Jayasekara Mudiyanselage Thilakarathna Bandara
10 - Happawara	Edirisinghe Arachchilage Gaya Nilmini Edirisinghe
11 - Makuruppa	Daunda Sekara Mudiyanselage Ambeypala
12 - Uthalumada	Don Senarath Rathnayakalage Vijitha Wickramarathna
13 - Poramadulla	Jayasinghe Dewayala Gedara Piyasena
14 - Gannewa	Wickramasinghe Mudiyansela Galegedara Muthubanda
15 - Karaamidula	Ilanganthilaka Mudiyanselage Chandrika Hemamali Ilanganthilaka
16 - Rahathungoda	Paththini Hennadige Amith Abeyrathna
17 - Dehipe	Karunadhipathi Divarathna Wasala Mudiyansela Ranjith Hapuhinna
18 - Idampitiya	Hinidumage Kenath Deepal Hinidumage
19 - Mooloya	Doraraj Dharmalingam
20 - Hope	Periyasamy Yohana Kumari
21 - Elamulla	Pussala Mankada Rathnayake Mudiyanselage Danushka Ruwan Kumara Pussala Mankada
22 - Mathurata	Lokumannage Samantha Weerasekara
23 - Gonapitiya	Jayaweera Jayarathna Patabandige Janaka Udara Jayaweera
24 - Mandaram Nuwara	Udagammadde Gedara Thushith Lakmal Priyaranjana
