ward	name
1 - Adikarigama	Thennakoon Mudiyanselage Nihal Thennakoon
2 - Hakuruthale	Lanka Lasanthi Wikramapathirana
3 - Malulla	Yobuwelthanne Gunawath Mudiyanselage Chithrasiri Dayarathna
4 - Sangarajagama	Wanniarachchige Samantha Kumara Premarathna
5 - Hanguranketha	Disanayaka Mudiyanselage Jayalath Bandara Disanayaka
6 - Unanthenna	Memure Disanayaka Mudiyanselage Manoj Anuranga Dissanayaka
7 - Rikillagaskada	Manthilaka Mudiyanselage Ajith Priyanthalal Manthilaka
8 - Madanwala	Maharage Dayan Hiubart Perera
9 - Udawaththa	Rathnayaka Mudiyanselagae Galahitiyawa Gedara Kumara Rathnayaka
10 - Happawara	Hinkenda Mudiyanselage Punchibanda
11 - Makuruppa	Dissanaya Mudiyanselage Harshana Bandara Dissanayaka
12 - Uthalumada	Weerasingha Jayathilaka Mudiyanselage Indarawathi
13 - Poramadulla	Ahangama Vithanage Don Thusahara Sajith Idunil Karunarathna
14 - Gannewa	Yapa Mudiyanselage Abagaspitiya Gedara Samantha Bandara Weerasekara
15 - Karaamidula	Munthattuwe Gedara Ariyasena
16 - Rahathungoda	Rajapaksha Rathnayaka Mudiyansela Kankanam Gedara Kudabanda
17 - Dehipe	Gorokgorawe Gedara Alahakoon Banda
18 - Idampitiya	Galapita Gedara Sarath Gunasingha
19 - Mooloya	Palaneshwaran Kokila
20 - Hope	Ponnaiya Karunanidi
21 - Elamulla	Alawathpitiya Gedara Tikiri Banda
22 - Mathurata	Athulu Gamagedara Jayarathna Banda
23 - Gonapitiya	Sivaghanam Divya
24 - Mandaram Nuwara	Marabedda Rathnayaka Mudiyanselage Danapala
