ward	name
1 - Varani	Yathukaran Swarna
2 - Nawatkadu Karambai	Sanmugathas Piriyatharsan
3 - Manthuwil	Kanagaratnam Nirojan
4 - Sarasalai	Nadarasa Kanthaseelan
5 - Madduwil North	Nishalini Srimohan
6 - Madduvil Chandirapuram	Kumaru Niththiyananthan
7 - Kaithadi North	Rajeswaran Tharmeswaran
8 - Kaithadi South	Paramasivam Thayavaran
9 - Madduvil - Nunavil	Selvarasa Jeyaruban
10 - Meesalai - Ramavil	Subramaniam Sivakumar
11 - Kodikamam Town	Vaiththilingam Pararajasingam
12 - Usan Mirusuvil	Sivatharsan Tamilarasy
13 - Karambaham Eluthumadduval	Amirthalingam Sathasivam
14 - Vidaththalpalai-Palavi	Kandiah Balasingam
15 - Kachchai - Allarai	Kanakaratnam Yogarasa
16 - Thanankalappu - Marawanpulo	Ramalingam Vigneswaran
17 - Nawatkuli	Vinayagamoorthy Sahathevan
