ward	name
1 - Kalvayal	Paramanathan Thevaseelan
2 - Chavakachcheri North	Navaraththinam Salojan
3 - Manduvil	Mahenthiran Dilosha
4 - Meesalai West	Jeyanthiran Thanuja
5 - Meesalai East	Maheswaran Gajan
6 - Sankathanai	Sivasubramaniyam Nisanthan
7 - Chavakachcheri Town	Maheswaran Sanjeev
8 - Nunavil East - Central	Subramaniyam Niththiyananthan
9 - Nunavil West	Selvarasa Selvaramanan
10 - Kovilkudiyiruppu -Sea	Niththiyananthan Piremavathi
11 - Kovilkudiyiruppu - A (Land side)	Mahenthiran Surenthiran
