ward	name
1 - Galoya	Herath Mudiyanselage Bisomanike
2 - MORAGASWEWA	Thennakoonge Gamini Vimal Gunaratne
3 - MINIHIRIGAMA	Ahangama Vithanalage Priyanka Senarathne
4 - ULPATHWEWA	Gallolu Kankanamalage Saman Priyantha
5 - YODAELA	Marasinghe Pathiranage Melan Nipunaka Weerasinghe
6 - SIRIKETHA	Waththe Gedara Saman Janaka
7 - HINGURAKA BANDARAGAMA	Rantilaka Pedige Ananda
8 - SAMAPURA	Uduwage Don Kasun Tharanga Ruwan Abeyrathne
9 - YATIYALPATHANA	Mahayalage Choolaratna Fernando
10 - MINNERIYA	Wanninayaka Mudiyanselage Sunil Madadhombe
11 - BATHGAMPATHTHUWA	Samarakoon Mudalige Jayantha Vipula Samarakoon
12 - GIRITHALE	Pathirannehelage Chaminda Bandara
13 - BUBULA	Jayasundara Mudiyanselage Sachini Thashmila Jayasundara
14 - HINGURAKGODA	Mudiyansege Prasad Nilantha Kumara
15 - ULKATUPOTHA	Senadheera Pathiranage Gamini Jayasinghe
16 - UNAGALAVEHERA	Balage Arachchillage Saman Harischandra
17 - JAYANTHIPURA	Manjula Bandara Athapaththu
18 - AGBOPURA	Weerasinghage Chandana Udeshantha Weerasinghe
19 - CHETHIYAGIRIGAMA	Gamaralalage Amila Nishantha Wijesinghe
20 - SUDUKANDA NIKAWEWA	Palle Gedara Senavirathna Banda
