name
Thennakoon Mudiyanselage Priyanka Rathnasiri Thennakoon
Weerakoon Mudiyanselage Daminda Madusanka Weerakoon
Thelikada Palliyaguruge Nirosha
Deninda Liyanage Mahinda Priyashantha
Pakeer Hameed Abdul Kadar
Ramyawatheege Achila Mihirani Abeywickrama
Wijethunga Mudiyanselage Hemamali Wijethunga
Hitihami Mudiyanselage Anulawathi
Wanasinha Mudiyanselage Dayadra Jayamini
Ashok Kumar Deepalochani
Eeduppuli Arachchilage Pushpa Janakanthi
Dehilandage Jayantha Amarasekara
Meraghghage Bandula Salgadu
