ward	name
1 - Medapathana	Wanasingha Mudiyanselage Gunawardhana
2 - Kailagoda	Disanayaka Mudiyanselage Pushpalatha Disanayaka
3 - Badulla North	Prasanna Kumara kahagala Gamage
4 - Pitawelagama	Rathnayaka Mudiyanselage Chathurika Dilrukshi
5 - Badulla west	Lankahalugedara Siriyalatha
6 - Katupelella	Disanayaka Mudiyanselage Sameera Prasad
7 - Badulla Central	Sulfikar Kamaldeen
8 - Badulupitiya	Ashoka Weerasekara
8 - Badulupitiya	Wolter Wasantha Wijedasa
9 - Badulla East	Ranpati Dewayalage Kasun Chamara
9 - Badulla East	Suresh Krishanth Sandakelum
10 - Hindagoda	Rajagopal wimalendran
11 - Badulla South	Sinnappan Nesaraja
12 - Hingurugamuwa	Withanawasam Ranadeerage Dharmasiri
13 - Kanupelella	Wedikkara Arachchige Mahinda Kumara
