name
Haburugala Vithanalage Chamila Dinesha Abeywickrama
Sedillage Dona Dammika
Maha Udage Menaka Saman Kumari
Dedduwa Vithanage Yamuna
Opatha Kankanamge Renuka Indrani
Akada Kankanamge Barnard Semasiri Jayasekara
Gamini Pushpasiri Vithana
Polpithi Mukalane Gunalankara Thero
Paranamanage Pradeep Chamantha
Thusitha Chandima Weerasekaraarachchi
Diyamullage Chandrasena
