ward	name
1 - Karikaddumoolai North	Muhamed Hanifa Apdul Raheem
2 -	Kensiskan Mohomadu Rapees
3 - MullaiNagar	Mohomadu Hanifa Razeen
4 - Hijrapuram	Jamaldeen Risham
5 - Mulliyawalai West	Muththu Muhammadu Muhammadu Mubasir
6 - Mulliyawalai East	Saheed Ajmeer
7 - Thanneerutu	Naleena Abdul Raheem
8 - Kanukeny	Mohideen Bava Mohammadu Mahir
9 - Mullaiyur	Noortheen Mohamathu Shatheer
10 - Karikaddumoolai East	Ravendran Kukapiriya
11 - Kumulamunai	Meerasahib Janees
12 - Karikaddumoolai south	Irasamarikkan Muhammadu Ajimal
13 - Welioya East	Abthul Hameed Sathees
