ward	name
1 - Karikaddumoolai North	Sivarasa Senthoorselvan
2 -	Navarathinam Nagaseelan
3 - MullaiNagar	Ponnuthurai Thaarani
4 - Hijrapuram	Abdul Raheem Rameem
5 - Mulliyawalai West	Maheswari Kandhaiah
6 - Mulliyawalai East	Annam Thurailingam
7 - Thanneerutu	Sellathampi Thevarasa
8 - Kanukeny	Kumaraiah Rasaputhiran
9 - Mullaiyur	Muruhupillai Kuhanesan
10 - Karikaddumoolai East	Uruthiran Rajarooban
11 - Kumulamunai	Kanagaiah Vijenthan
12 - Karikaddumoolai south	Sivapiragasam Sivagnasundaram
13 - Welioya East	Rathikanthan Baskaran
