ward	name
1 -	Prakasha Mudalige Waruna Gangara Premarathna
2 -	Boruppage Don Sumedha Aruna Shantha
3 -	Abegoda liyanage Indika Sanjewa Gunasekara Alias Abegoda liyanage Indika Sanjeewa Gunasekara
4 -	Madduma Bandarage Gayan Lakmal Gunawardana
5 -	Agampodi Dilan Tharaka Liwera
6 -	Muthunayakage Nirmala Muthunayaka
7 -	Mano Priyankara Liyanage
8 -	Wickramarathna Widanelage Jud Samsan Pranandu
9 -	Wijekoon Mudiyanselage Sriyani Wijekoon
10 -	Thuwan Mohammad Faizdeen Kichilan
11 -	Karunaweerage Sudharaka Chirantha
12 -	Wijayalath Pedilage Buddhika Sadun Wimalasiri
13 -	Mohomad Maharof Mohomad Rizvi
