ward	name
1 - Mahakele	Rathnayaka Mudiyanselage Siripala
2 - kandakepoo Ulpotha	Weerasingha Mudiyanselage Upul Sarath Kumara
3 - Baduluoya	Gajanayaka Mudiyanselage Amaradasa Gajanayaka
4 - Kandaketiya	Wijekoon Mudiyanselage Sunil Shantha
5 - Kivulegedara	Manatunga Mudiyanselage Udaya Kumara Manatunga
6 - Muadagamuwa	Marawaka Kulatilakage Nawarathna
7 - Maliyadda	Rajapaksha Karuna Dewayalage Ranjith
8 - Godunna	Wijesingha Mudiyanselage Sudira Asanka Bandara
9 - Galauda	Rathnayaka Mudiyanselage Bandula Rathnayaka
10 - Bokanoruwa	Rathnayaka Mudiyanselage Chandra Kumari
