ward	name
1 -	Athula Priyantha Bellana
2 -	Marage Don Sanath Wijayawickrama
2 -	Rajendran Vinod Kumar
3 -	Athapaththuge Samanmal Kumara
4 -	Pelenda Vithanage Saliya Ranaraja Jayasingha
5 -	Kodithuwakku Arachchige Don Gamini
6 -	Rambukkanage Thushari Prasanthika
7 -	Geekiyanage Anura Silva
8 -	-
9 -	Maguragama Ethige Pradeep Kumara
10 -	Mangalakottahachchige Ajantha Wimalasiri Mangala
11 -	Seelawansha Hitihamilage Don Naleen Chinthaka Kumara
12 -	Paramullage Don Samantha Pushpakumara
13 -	Ranasingha Chamilani Nilushika
