ward	name
1 - Angulana	Muthuthanthirige Achani Dineshika Fernando
2 - Kaldemulla	Muthuthanthri Basthiyange Sumudumali Charika Fernando
3 - Borupana	Nabadawa Vithanage Ishanka Nilakshana
4 - Thelawala	Dissanayake Mudiyanselage Sujith Pushpakumara
5 - Soisapura	Weligodage Udaya Kumara
6 - Lakshapathiya North	Pihimbiyage Dinesh Tharanga Fernando
7 - Uyana	Alisandirige Thusitha Sampath
8 - Lakshapathiya South	Wijesooriya Arachchilage Gedara Nandanee Kumari
9 - Katubedda North	Ahangama Batathuruge Gamini
10 - Katubedda South	Dankoluwage Don Bimesh Sandeepa Jayaweera
11 - Molpe	Irabaddagodage Dhanushka Priya Sampath
12 - Rawathawatta East	Ushettige Niluka Sanjeewanee
13 - Rawathawatta West	Kumarage Pradeep Perera
14 - Idama	Walpita Mudiyanselage Heen Mudiyanse
15 - kadalana	Kapuseekkuge Anusha Dilrukshi Fernando
16 - Moratumulla West	Ungamandadige Samantha Fernando
17 - Moratumulla	Masakoralage Sunil Nandasiri
18 - Willorawatta West	Wannakuwatta Waduge Don Dinesh Sadaruwan Perera
19 - Willorawatta East	Meregngnage Sanath Priyankara Fernando
20 - Indibedda East	Thelge Dileepa Niranga Peiris
21 - Indibedda West	Mahamarakkalge Wasana Sri Sampath Perera
22 - Moratuwella North	Kumarage Wattage Nimesha Thushani Fernando
23 - Moratuwella South	Bodhiyabaduge Shashinika Lakshini Fernando
24 - Koralawella West	Pilip Mandadige Sheyan Dulup Thisera
25 - Koralawella East	Wijayamuni Dilki Niwarthana Zoysa
26 - Katukurunda North	Wijayamuni Dilakshi Nawodya Zoysa
27 - Katukurunda Suoth	Balapuwaduge Shiran Janaka Bernard Mendis
28 - Egoda Uyana North Central	Ginige Nishantha Sanjeewa Silva
29 - Egoda Uyana South	Muhammad Nalim Mohammad Nasreef
