ward	name
1 - Angulana	Liyana Arachchige Janaka Kelum Perera
2 - Kaldemulla	Kaludewa Dilruwan De Silva
3 - Borupana	Maggonage Isuru Chamika Wimalarathna
4 - Thelawala	Herath Mudiyanselage Thushan Bandara
5 - Soisapura	Liyanage Sarath Nanayakkara
6 - Lakshapathiya North	Chalani Madara Wanniarachchi
7 - Uyana	Muthuthanthrige Sudarshani Priyanthika Cooray
8 - Lakshapathiya South	Kompagngnage Shantha Lakmal Fonseka
9 - Katubedda North	Kompagngnage Nipun Tharaka Fonseka
10 - Katubedda South	Payagala Badalge Supun Buddhika Nandalal
11 - Molpe	Dissanayake Pathirannahalage Chaminda Kelum Dissanayake
12 - Rawathawatta East	Moratuwa Lokuruge Dona Wajira Shrilal Thilakarathne
13 - Rawathawatta West	Panapage Aminda Sandun Kumara Fernando
14 - Idama	Mahamandadige Udayanga Sampath Fernando
15 - kadalana	Hendadura Thanuja Nayanamini Hendadura
16 - Moratumulla West	Merenyage Vimukthi Ashan Perera
17 - Moratumulla	Kaluappuwa Hannadige Inesh Kumara
18 - Willorawatta West	Gangoda Wilage Ramesh Iranga Perera
19 - Willorawatta East	Mahamandige Amarasiri Fernando
20 - Indibedda East	Weediyage Sanjaya Sujith Priyadarshana Fernando
21 - Indibedda West	Senanayakage Don Sumudu Chinthaka
22 - Moratuwella North	Paragaha Thanthrige Mahindapala Rupasinghe
23 - Moratuwella South	Thelge Joniyan Samadi Pieris
24 - Koralawella West	Widanalage Chamara Sandaruwan Soysa
25 - Koralawella East	Mahamudali Arachchige Lakshan Nilanka Fernando
26 - Katukurunda North	Kumarawaththage Prasad Madhushan Fernando
27 - Katukurunda Suoth	Muthuthanthrige Inosha Chandani Cooray
28 - Egoda Uyana North Central	Baminahannadige Sajith Duminda Pieris
29 - Egoda Uyana South	Lindamulage Bhagya Lakshani Silva
