ward	name
1 - Ganthalawa	Dehiwala Gurunnanselage Jogika Meleas
2 - Wanela	Karannagoda Liyanage Saman Kumara
3 - Jayanthipura	Karunathilaka Diwarathna Wasala Muthiyanselage Hapuhinne Galgodawela gethara Sulalitha nandnna Bandara Hapuhinna
4 - Raja-Ela	Mudannayaka Mudiyanselage Sarath Kumara
5 - Vendrasanpura	Manathunga Muthiyanselage Somawathi
6 - Bathiyagama North	Disanayaka Muthiyanselage Weranga Dinesh Disanayaka
7 - Bathiyagama South	Bope Hetti Arachchige Bandula Kulathunga
8 - Kanthale	Brahakmange Sriyani
9 - Peraru West	Pakkiyanadan Pushparasa
10 - Peraru East	Mohamad Rizwan Mohoththar
11 - Raja wewa	Jayasingha Mudiyanselade Piyathilaka Bandara
12 - Batukachchiya	Ranasingha Mudiyanselage Bandara Menike Ranasingha
13 - Agbopura	Herath Mudiyanselage Samantha Bandara
