ward	name
1 -	Hakmana Aarachchige Chandrakumara
2 -	Kuda koralalage Duglas Jerad
3 -	Abesingha Herath Mudiyanselage Sameera Sandaruwan Abesingha
4 -	Goradiyage Nihalsiri
5 -	Rajakaruna Herath Mudiyanselage Ranjith Rajakaruna
6 -	Dasanayake Herath Mudiyanselage Dilrukshi Dasanayake
7 -	Ratnayake Mudiyanselage Pemasiri Rathnayake
8 -	Kasthuri Aarachchilage Don Susith Chathuranga
9 -	Devamunige Rohana Janitha Kumara De Silva
10 -	Sooriyahetti Mudiyanselage Nishanka Sunimal Sooriyahetti
11 -	Wanninayake Mudiyanselage Kumarihami
12 -	Pulhiri Muththalage Sasindu Dilshan Pathmasiri
13 -	Liyana Aarachchilage Gayan Mangala VanikaSekara
14 -	Wijesundara Mudiyanselage Dayaratna
15 -	Herath Mudiyanselage Manoj Sudarshana
16 -	Karunanayaka RajapakshaPaththirannehelage Amal Sampath
17 -	Jayasingha Aarachchige Siriyawathi
18 -	Senanayaka Aarachchige Sriyani Mangalika
