ward	name
1 - Gonogolla	Eramini Gammana Ralalage Sumanawathi
2 - Nugelanda	Thero Udawela Dammathilaka
3 - Rajagalathenna	Lellagoda Hewayange Karunasena Dayathilaka
4 - Galapitagala	Hewa Masmullage Jagath Deshapriya Abeywardhana
5 - Mayadunna	Weerakkodige Manjula Samantha Weerakkodi
6 - Werenketegoda	Nihiluwa Gamage Chathuranga Darshana Kumara
7 - Bokkebedda	Mapa Mudiyanselage Malaka Mihira Bandara
8 - Mahakandiya	Pallik Kondage Tharindu Thushan Dhananjaya
9 - Himidurawa	Karunawantha Mudiyanselage Kulathunga
10 - Dematamalpelessa	Thembiligala Gedara Upul Priyantha Wijewardhana
11 - Uhana	Ranjith Wanigasinghe Ekanayaka
12 - Thissapura	Delankavalage Ariyarathna Delanakavala
13 - Weeragoda	Liyanaralalage Chandrasekara Bandara
14 - Rajagama	Aththanayakage Susantha Kumara Kusumsiri
15 - Wijayapura	Loku Widanalage Samith Jeewan Jayaweera
16 - Dadayamthalawa	Egodakande Wedale Dayani Somalatha
17 - Ruhunugama	Kalu Hennadige Premasiri
