name
Pramanalage kumuthini Nisansala Santhamali
Fathima Risana Muhamathu Riyaz
Sivakumar Dharshika
Arumugam Thevarammiya
Mahamath sinathul Baseera
Abdul Asees Muhammad Akram
Abdul Vaahithu Matheen
Mahumudu saleeth
Abusalibu Asrafali
