ward	name
1 - Pepiliyana	Indika Dharmasriya Hewamanna
2 - Divulpitiya	Haputhanthrige Udayakanta Kularatna
3 - Raththanapitiya	Hettiarachchige Dona Hilda
4 - Boralesgamuwa West	Don Manuwelge Don Jayaranjana
5 - Bellanwila	Omanthage Marvin Nandasiri Perera
6 - Werahera	Thalubandaranayakalage Priyantha Kumara Siriwardhana
7 - Boralesgamuwa East	Asintha Ramesh Pathmadasa
8 - Bodhirajapura	Kospolage Don Aruna Priya Shantha
9 - Katuwawala	Senadeera Pathiranalage Shammika Ariyachandra OR Shammika Senadeera
10 - Neelammahara	Aluthge Don Gihan chamika
