ward	name
1 - Rotalaweia	Herath Mudiyanselage Wasantha Herath
2 - Ginnoruwa	Wanasinghe arachchilage nilantha
3 - Ulhitya	Wanasingha Arachchilage Susantha Wanasingha
4 - Aluttarama	Dahanayake Mudiyanselage Prasanna Bandara Dasanayake
5 - Girandurukotte	Dissanayake Mudiyanselage Sumithra Kumarasinghe
6 - Dambana	Dissanayake Mudiyanselage Jothipala
7 - Beligalla	Gedara Kubure Gedaara Danuska Sampath Nawarathna
8 - Bathalayaya	Wejesundara Mudiyanselage Nadeeka Priyadarsani
9 - Sorabora	Atthanayaka Mudiyanselage Sunil Wickramasinghe
10 - Mahiyanganaya	Marasinghe Mudiyanselage Ganuka Eranga Marasinghe
11 - Elewela	Dissanayake Mudiyanselage Nandis Singno
12 - Dambarawa	Dissanayake Mudiyanselage Samantha Dissanayake
13 - Mapakadawewa	Hewa Gamage Pradeep Kumar
14 - pangaragammana	Warakalande Dissanayake Mudiyanselage Charidu Nimesh Dissanayake
