ward	name
1 - Aluthgama	Dissanayake Mudiyanselage Sanuka Madhushanka Bandara
2 - Doragamuwa	Manthilaka Mudiyanselage Wishwanath Manthilaka
3 - Yatawara	Thusitha Rasika Manoj Godakumbura
4 - Gunembil	Kanakka Hewaage Susantha Kumara
5 - Meegammana	Kakiriwalage Nandana Dewapriya
6 - Udathalawinna madige	Ali Uduman Seiyadu Ahamed Ummu Faridha
7 - Udathalawinna	Wejesinghe Mudiyanselage Mahinda Wijesinghe
8 - Pallethalawinna	Dissanayake Mudiyanselage Athula Dissanayake
9 - Paranagama	Udamulle Gedara Priyantha Premathilaka
10 - Ambathenna	Wijesooriya Mudiyanselage Mahinda Kumara Jayasooriya
11 - Megodagama	Nilanka Rohini Kahatagahadiwela
12 - Kahalla	Anura Kumara Wasantha Ribera
13 - Polgolla	Mahawele Gedara Shameera Rasanjana Mahawela
14 - Meegamawaththa	Wadumeththrige Shanthaa
15 - Madawala madige	Dehigaha Kotuwe Gedara Abusali Asraf Abbakkar
16 - Madawala	Dissanayake Mudiyanselage Gunarathne Banda
17 - Pihilladeniya	Walisundara Mudiyanselage Nandana Manike Walisundara
18 - Leemagahadeniya	Kumbure Gedara Senarathne Dulip Manjula
