ward	name
1 - Boragas	Hetti Arachchilage Indunil Nishanthi
2 - hulankapolla	Herath Mudiyanselage Indika Senarathna
3 - vidhurupola	Herath Mudiyanselage Janath Bandara Herath
4 - diwrumgama	Herath Mudiyanselage Dhammika
5 - Welimada	Dasanayake Mudiyanselage Eranga Lakshman
6 - Puranwela	Wijesuriya Ralalage Kalum Pushpakumara
7 - Landegama	Jayasinghe Pelige Asanga Madushan Jayasinghe
8 - Dhambawinna	Kapugama Manikkage Karunadasa
9 - Dhikkapitiya	Thennakoon Mudiyanselage Priyananda Thennakoon
10 - Dayarabawathta	Don Karunarathna Arachchilage Layanal Karunarathna
11 - Mirahawathta	Donsekara Pathirannahalage Shehan Ashinka
12 - Udupeella	Weerakoon Mudiyanselage Anura Dissanayake
13 - Nawela	Rathnayake Mudiyanselage Siripala
14 - Nandungamuwa	Konara Mudiyanselage Nadeesha Chamali Rathnayake
15 - Idamegama	Herath Mudiyanselage Ravindra Srimal Herath
16 - Keppetipola	Wijesinghe Mudiyanselage Chularathna Wijesinghe
17 - Ambewela	Thennakoon Mudiyanselage Dilshan Madusanka
18 - Kandepuhulpola	Thebuwana Arachchilage Chaminda Pushpakumara
19 - Boralanda	Rathnayake Mudiyanselage Anulawathi
20 - Guruthalawa	Wijesinghe Mudiyanselage Lalith Kumara
20 - Guruthalawa	Mapa Mudiyanselage Imesh Madhawa
21 - Galedanda	Ranuluge Sarath Bandara
22 - Pitapola	Rathnayake Mudiyanselage Amarawathi
23 - Ohiya	Yapa Mudiyanselage Kumuduni Hemamali
24 - Maligathenna	Hollu Pathirage shriyangani kaldera
