ward	name
1 - Thandikulam	Subajini Sasitharan
2 - Paddanichipuliyankulam	Selvam Piraagatheeswaran
2 - Paddanichipuliyankulam	Srirajkumar Shankarraj
3 - Pandarikulam	Nishakaran Pabithanushan
4 - Vairavapuliyankulam	Arumugam Sivasekaram
5 - Kudiyiruppu	Selvarasa Mayuran
6 - Bazzar streer	Navaraththinarasa Selvarasa
7 - Moonrumurippu	Alaharatnam Jaikumar
7 - Moonrumurippu	Marinaroshani Joe El Niroshan
8 - Rambaikulam	Vallipuram Kasipilllai Anton Rajkumar
9 - Sinnaputhukkulam	Rasaiya Sutharsan
10 - Kovilkulam	Vijayakumar Joel Niroshan
