ward	name
1 -	Mihindukulasooriya Kahapola Arachchige Chandima Silva
2 -	Bamunusinghe Arachchige Kelum Kumara
3 -	Lal Senarathna
4 -	Mohommed Gouse Faslul Ishak
5 -	Waduge Susantha Fernando
5 -	Lewana Marikkar Mohamed Azahar
6 -	Mohan Lal Gunaransi
7 -	Mohamed Imthiyas Mohamed Ferzan
8 -	Horanage Nilantha Fernando
9 -	Kolamba Patabendige Buddhimathi Anoma Perera
10 -	Rambukkana Neerosh Suranja Fernando
11 -	Wikkarama Kodippily Patabendhige Dushani Pushpa Kumari
12 -	Hapuarachchige Don Nalaka Nadeelal
13 -	Chaminda Chinthaka Thilakarathna
14 -	Pihanage Don Rohan Indika Prashan
15 -	Don Dhammika Sumith Athukorala
16 -	Muthuthanthrige Ranga Prasanga Fernando
17 -	Mudennage Michael Silva
18 -	Waduge Hemantha Fernando
19 -	Uduwarage Lanka Maduranga Silva
20 -	Hithanadura Sujith Priyanga Silva
21 -	Muthuwahandi Harsha Gayashri Dilshan Silva
22 -	Godamada Withanage Champikaa Perera
23 -	Angage Chaminda Perera
24 -	Mestiyage Don Nalaka Thilakasiri Gunathilaka
25 -	Manna Marakkalage Junious Richard Cooray
26 -	Nimal Chandrasiri Ilangage
