ward	name
1 - Serana	Don Chandrasiri Munasingha
2 - Keselpotha north	Basnayaka Mudiyanselage Edirisinghe
3 - Keselpotha south	Hali Vidanalage Advin Wickramapala
4 - Akiriyankumbura	Rajawaka Bandaralage Nimal Premarathnna
5 - Petiyagoda	Aththanayaka Mudiyanselage Dinuka Thushara Aththanayaka
6 - Uvatissapura	Rajapaksha Devayalage Rupasinghe
7 - Gamunupura	Thunhitiyawegedara Herath Mudiyanselage Saman kumara Herath
8 - Adaulpatha	Dissanayaka Mudiyanselage Sandamali
9 - Rideemaliyadda North	Adhikari Mudiyanselage Janaka Sanjeewa Adhikari
10 - Kuruvitanna	Tennakoon Mudiyanselage Dhammika Nayana Kantha Tennakoon
11 - Arawa	Herath Mudiyanselage Karunapala
