ward	name
1 - Bulathgama	Induruwe Wedagedara Sena Chaminda
2 - Thubagoda	Mahavaththage Sunethra Dharmasilee Weerasingha
3 - Hunukumbura	Kongahavaththage Manjula Nandana
4 - Kirindigala	Hetti Arachchilage Harshitha Navod Hettiarachchi
5 - Oluganthota	Mulgama Mudalihamige Ravindra Saman Kavirathna
6 - Dehigastalawa	Mohomad Thahir Mohomad Roomi
7 - Balangoda Town	Pimburage Don Chandrasena
8 - Balangoda	Maduwanwala Wahumpurage Wimalasiri
9 - Kumaragama	Ranasingha Arachchilage Don Shihan Kavinda Ranasingha
10 - Ellepola	Don Sudesh Chandimal Munasingha
