ward	name
1 - Meemure	Munasinghe Arachchige Asanka Prasad Jayampathi
2 - Kalugala	Jayasundara Mudiyanselage Nisansala Jayasundara
3 - Dhambagahapitiya	Samarasekara Mudiyanselage Nimal Samarasekara
4 - Hunnasgiriya	Weerarathne Matharamahavidana Patabendige Amarawansha
5 - Udadumbara	Jayasundara Mudiyanselage Podimanike
6 - Mediwaka	Rathnayake Mudiyanselage Karunarathne
7 - Rambukwella	Bambaragasyaye Gedara Sugath Dharmasiri Samarasinghe
8 - Bambarabedda	Munasinghe Arachchige Samantha Chaminda Bandara
9 - Madugalla	Subasinghe Mudiyanselage Udagedara Chaminda Wijerathne
10 - Dewahandiya	Samarasekara Mudiyanselage Danushka Kumari Samarasekara
