ward	name
1 - mathetilla	Konara Mudiyanselage Piyadasa
2 - diganathenna	Karagahawela Nandavimala Thero
3 - kirioruwa	Arachchi Mudiyanselage Amal Ruwansiri Bandara
4 - egodagama	Wickrama Arachchi Wee Bedda Liyanage Rohitha Wickrama Arachchi
5 - makul ella	Manathunga Devage Wineetha Manathunga
6 - liyangahawela	Rathnayake Mudiyanselage Pradeep Sadaruwan Rathnayake
7 - DULGOLLA	Manathunga Devage Ajith Subhasingha
8 - kabellewela south	Jayamanna Mudiyanselage Gnana Jayamanna
9 - obadaella	Wanniya Arachchige Jayathissa
10 - nayabeddawaththa	Suppaiah Madavan
