ward	name
1 -	Aluthduwa Hewage Susantha Buddhika Gunawardana
2 -	Nalinda Wickramaarachchi
3 -	Anthony Malie Dayananda
4 -	Kosgala Siridhamma Thero
5 -	Metaramba Koralalage Chandrapala
6 -	Kindelpitiyage Indika Thushara
7 -	Madduma Wellalage Samantha Sanjeewa
8 -	Wengappuli Arachchige Deepal
9 -	Dorin Chandrika Mallawaarachchi
10 -	Kalansi Mahadurage Kapila Ruwan Senarathne
11 -	Polwaththa Durage Shiroma Damayanthi
11 -	Kanda Durage Kusumawathie
12 -	Holankage Amila Laksiri Kudaligama
13 -	Hewage Vijitha Mallawa
14 -	Henadeerage Ranil Prasanna Henadeera
