ward	name
1 - Bambarakele	Upali Wanigasekara
1 - Bambarakele	Nilan Sanjeewa De Zoysa Abeysekara Siriwardana
2 - Nuwaraeliya	Jude Chandana Madagama
2 - Nuwaraeliya	Abeysekara Patabandige Janaka Thushara Rajapaksha
3 - Hawaeliya North	Abdul Razik Nawas
4 - Hawaeliya West	Herath Mudiyanselage Dulani Sakunthala Rupasinghe
5 - Hawaeliya East	Chamila Shamali Kumari Vithanage
5 - Hawaeliya East	Wahindara Mudiyanselage Dammika Nishantha Wahindara
6 - Nuwaraeliya Center	Priyanthi Karandawela
6 - Nuwaraeliya Center	Mahes Sameera Rathnasekara
7 - Kalukele	Ayagama Lekamalage Jayantha
8 - Samdathanna	Weerapperuma Kankanmge Sanath Wijesinghe
9 - Magasthota	Jayasundara Mudiyanselage Chandrakeerthi
