ward	name
1 - Kahatapitiya	Mohomad Nuhuman Mohomad Arafath
2 - Kirinda	Samaraweera Arachchilage Saliya Ranjith Bandara
3 - Udovita	Mohomed Yousup Mohomad Rismi
4 - Bothalapitiya	Lahiru Sachinthana Wijerathna
5 - Gampola East	Badugoda Liyanage Dushanthi Shalika kumari
6 - Mountemple	Samaraweera Arachchige Thusara Niroshana Samaraweera
7 - Keerapane	Baratha Prasan Dias Sumanasekara
8 - Rathmalkaduwa	Batunendra Mudiyanselage Thusitha Niranjan
9 - Godagama	Don Kameera Danushka Hewathilaka
10 - Gampola West	Sellasami Shanidu Kusal
11 - Polkumbura	Rajabarana Mahagedara Milinda Kithsiri Mahindarathna
12 - Illawathura	Molligoda Liyanage Roshan Chathuranga
13 - Angammana West	Kallora Mudiyanselage Isuru Themiya Bandara
14 - Angammana East	Madagedara Vimarsha Bandara Senadeera
15 - Aregoda	Kangara Mudiyanselage Sonali Chamodika Priyasarani
16 - Kudamake	Rajabarana Mahagedara Chandra Sri Mahindarathna
17 - Jayamalapura	Jagath Shantha Kumara Wijerathna
