ward	name
1 - Kandahindagama	Dissanayaka Mudiyanselage Nilmini
2 - Hulannuge	Rupasingha Pradeep Rasanga Rupasingha
3 - Parana lahugala	Godallawaththage Chamila Godallawaththa
4 - Lahugala	Ukkubanda Jayasingha
5 - Dewalegoda	Sooriyawansha Widana Pathiranalage Ashinka Piyumal
6 - Pansalgoda	Suranja Lakmal Jayasingha
7 - Panama West	Kalu Appu Danapala Karunashantha
8 - Shastrawela	Herath Mudiyanselage Padmawathi
9 - Panama Central	Dayawansha Rasika Nilmini
10 - Panama North	Wiragamwela Mudiyanselage Hitihami Sarath Mahinda
11 - Panama South	Dayananda Rohana Nandasiri
