ward	name
1 - Sewa janapathaya	Jayawikramage Jayantha Wijethilaka
2 - Gemunupura	Jinadasage Sriyani Herath
3 - Kavanthissapura	Jayasundara Mudiyanselage Chandhrani Jayasundara
4 - Lassanagama	Senarath Dissanayakalage Ranjith Darmasiri
5 - Sinhapura	Kooranage Raj Sebasthiyan
6 - Samanpura	Jayasinha Arachchilage Athula Premajayantha
7 - Sri Thissapura	Hewasinha Pedige Darmakeerthi
8 - Padavi Sripura	Basnayaka Mudiyanselage Athula Bandara
9 - Jayanthiwewa	Marasinhage Nimal Chandrasena
10 - Paranamadawachiya	Wijesinha Mudiyanselage Bandula
