ward	name
1 - Pannagamuwa	Vitharana Gamage Upul
2 - Vijithapura	Chathumini Dilshani Wijenayaka
3 - Debarawewa	Kankanam Hettige Viraj Pethum Chathuranga
4 - Gangasiripura	Bishmi Harindi Rajapaksha
5 - Mahasenpura	Noopehewage Imesh Kaushan Jayasena
6 - Kawantissapura	Rathnayaka Mudiyanselage Ishanka Dilruk
7 - Kirinda	Galappaththi Kankanamge Mahesh Sameera
8 - Yodakandiya	Rathnayaka Korale Mudalige Rohitha
9 - Ranakeliya	Palatu Kamkanamge Ariyasena
10 - Magama	Hewa Thondilage Chinthaka Sandakelum
11 - Tissamaharama	Sujith Nishantha Sayakkara
12 - Nedigamwila	Nambukara Gamage Sarath
13 - Tissapura	Yakalle Kankanamge Wasantha Priyadarshana
