name
Silpesara Gedara Swarnawathy
Rathnayaka Mudiyanselage Jayatissa Bandara
Mahapeli Gedara Nishanthi Kaushalya Pushpakumari
Jayasundara Mudiyanselage Ranbanda Jayasundara
Wijesinghe Arachchilage Renuka Damayanthi Wijerathne
Malagammana Gedara Ariyarathne
Kele Korale Gedara Chithramala
Abdul Samad Mohomad Hasim
Wal Kathure Mudiyanselage Bandaranayake
