name
Wellampitiye Sumanadamma Thero
Welimada Chandarathana Thero
Arambawelage Don Sriyani Dhammika
Kaththiri Arachchige Dona Kumuduni Sandya Kumari
Don Kanushka Gayan Rajapaksha
Deepika Priyadarshani Jayathunga Dahanayaka
Kankanam Pandithage Rithmi Warangana Senarath
Siyambala Gamage Nishanthi Priyadarshani
Angage Shamila Roshani Perera
