ward	name
1 - BADALGAMA	Loluwagodage Amara Indrani Gunaseeli
2 - MELLAWAGEDARA	Attanayake Mudiyanselage Nawarathna Attanayake
3 - KOTADENIYAWA	Ganegoda Hitihamillage Anuradha Wijesinghe
4 - NAWANA	Owitigala Satharasinghe Arachchilage Chandrarathna Senadheera
5 - HALPE	Siwarapperuma Pathiranalage Priyantha Jayarathna
6 - KITHULWALA	Wijerathna Ekanayaka Mudalige Manjula Dias Wijerathna
7 - MADITHIYAWALA	Manadee Pathirathnehelage Dinesh Shirantha
8 - WALPITA	Jahapu Appuhamilage Upali Senaka Jayakodi
9 - DELWAGURA	Henayaka Arachchige Sachintha Jayamal Perera
10 - GODIGAMUWA	Basnayaka Appuhamilage Swarna Dammikagnani
11 - AKARAGAMA	Horathal Pedige Lesli Herbet
12 - PAHALA MADAMPELLA	Abeyrathna Mudiyansele Naththarampotha gedara Niroshan Pushpa kumara Abeyrathna
13 - KONGODAMULLA WEST	Ranaweera Arachchige Indika Krisantha Ranaweera
14 -	Rajapaksha Appuhamilage Rosan Kaleetas
15 - Kadawala	Gayathra Dinali Kurukulasooriya
16 -	Waga Pedige Gayan Niluksha Ranaweera
17 - Palliyapitiya	Samarappulige Mahinda Lal Jayasinghe
18 -	Jayasekara Heeralu Pathirannehelage Susantha Abeyruwan Jayasekara
19 -	Hetti Gamage Athulitha Vishmal
20 -	Kodithuwakku Arachchige Don Deshan Buddhika
21 -	Kadupiti Randunuge Thilanka Niroshan Pereira
22 -	Sisila Senani Ransinghe
23 -	Kolamba Liyanage Dian Lakshan
24 -	Kuruppu Arachchige Shantha Sisira Kumara Ranathunga
25 -	Anushka Dhananjana Werawatta
26 -	Sinhala Pedige Kapila Thilakasinghe
