ward	name
1 -	Dissanayaka Vipulasenage Samantha Dissanayaka
2 -	Weerarathna Arachchi Patabendige Nimal Weerarathna
3 -	Amarathunga Jayathilaka
4 -	Jeynul Abdeen Musadik
5 -	Senage Indrani Senarathna
6 -	Senarathnage Gayan Sanjaya Kumara Herath
7 -	Jayawardana Mudiyanselage Ajantha Rohana Jayawardana
8 -	Vanninayaka Mudiyanselage Priyantha Dammika Vanninayaka
9 -	Wijesuriya Arachchilage Raja Abeywikrama
10 -	Jayathilaka Mudiyanselage Jayaweera Kumarasiri
11 -	Koorampala Ralalage Wasantha Bandara
12 -	Karunawathige Piyarathna
13 -	Juvanisge Anil Nishsanka
14 -	Godahenage Weerasudath De Silva
15 -	Punchibandage Nayananada Jayasundara
16 -	Agarage Sanjeewa Nanayakkara
