lg_id	lg_name	n_members	ward_name	ward_num
LG-11001	Colombo MC	1	Sammanthranapura	1
LG-11001	Colombo MC	3	Mattakkuliya	2
LG-11001	Colombo MC	2	Modara	3
LG-11001	Colombo MC	3	Mahawatta	4
LG-11001	Colombo MC	2	Aluth Mawatha	5
LG-11001	Colombo MC	2	Lunupokuna	6
LG-11001	Colombo MC	1	Kotahena West	7
LG-11001	Colombo MC	1	Kotahena East	8
LG-11001	Colombo MC	2	Bloemendhal	9
LG-11001	Colombo MC	1	Grandpass North	10
LG-11001	Colombo MC	1	Navagampura	11
LG-11001	Colombo MC	3	Dematagoda	12
LG-11001	Colombo MC	1	Maligawatta East	13
LG-11001	Colombo MC	2	Grandpass South	14
LG-11001	Colombo MC	1	Khettarama	15
LG-11001	Colombo MC	1	New Bazaar	16
LG-11001	Colombo MC	1	Masangasweediya	17
LG-11001	Colombo MC	1	Jintupitiya	18
LG-11001	Colombo MC	1	Kochchikade	19
LG-11001	Colombo MC	1	Fort	20
LG-11001	Colombo MC	1	Kochchikade South	21
LG-11001	Colombo MC	1	Hultsdorf West	22
LG-11001	Colombo MC	1	Hultsdorf East	23
LG-11001	Colombo MC	1	Keselwatta	24
LG-11001	Colombo MC	1	Panchikawatta	25
LG-11001	Colombo MC	1	Maligawatta West	26
LG-11001	Colombo MC	2	Maradana	27
LG-11001	Colombo MC	1	Kuppiyawatta East	28
LG-11001	Colombo MC	2	Wanathamulla	29
LG-11001	Colombo MC	2	Borella North	30
LG-11001	Colombo MC	1	Kuppiyawatta West	31
LG-11001	Colombo MC	1	Hunupitiya	32
LG-11001	Colombo MC	1	Wekanda	33
LG-11001	Colombo MC	1	Kollupitiya	34
LG-11001	Colombo MC	1	Bambalapitiya	35
LG-11001	Colombo MC	1	Cinnamon Gardens	36
LG-11001	Colombo MC	1	Borella South	37
LG-11001	Colombo MC	1	Gothamipura	38
LG-11001	Colombo MC	1	Narahenpita	39
LG-11001	Colombo MC	2	Thimbirigasyaya	40
