district_id	n_lgs_actual	n_lgs_expected
LK-11	13	13
LK-12	19	19
LK-13	17	17
LK-21	22	22
LK-22	13	13
LK-23	12	12
LK-31	19	19
LK-32	17	17
LK-33	12	12
LK-41	17	17
LK-42	5	5
LK-43	5	5
LK-44	4	4
LK-45	3	3
LK-51	12	12
LK-53	13	13
LK-61	21	21
LK-62	12	12
LK-71	19	19
LK-72	8	8
LK-81	18	18
LK-82	10	10
LK-91	17	17
LK-92	12	12
